           LISTA DE TOKENS            
TOKEN        LEXEMA          LINEA    COL      SCOPE/INFO     
FLOAT        -               1        0        N/A            
SEP          -               1        5        N/A            
ID           func1           1        6        Scope 0        
PAR_I        -               1        12       N/A            
CHAR         -               1        15       N/A            
SEP          -               1        19       N/A            
ID           x22             1        20       Scope 1        
COMMA        -               1        23       N/A            
CHAR         -               1        24       N/A            
SEP          -               1        28       N/A            
ID           x23             1        29       Scope 1        
PAR_D        -               1        33       N/A            
LLAVE_I      -               1        36       N/A            
COUT         -               3        4        N/A            
SEP          -               3        8        N/A            
PAR_I        -               3        9        N/A            
STRING_LIT   === Entrando a func1 ===\n 3        12       N/A            
PAR_D        -               3        41       N/A            
PYC          -               3        43       N/A            
STRING       -               5        4        N/A            
SEP          -               5        10       N/A            
ID           sss             5        11       Scope 1        
ASSIGN       -               5        14       N/A            
STRING_LIT   Hola            5        16       N/A            
PYC          -               5        22       N/A            
STRING       -               6        1        N/A            
SEP          -               6        7        N/A            
ID           apa             6        8        Scope 1        
PYC          -               6        11       N/A            
ID           apa             7        1        Scope 1        
ASSIGN       -               7        4        N/A            
ID           sss             7        7        Scope 1        
PYC          -               7        10       N/A            
INT          -               8        4        N/A            
SEP          -               8        7        N/A            
ID           numero          8        8        Scope 1        
ASSIGN       -               8        14       N/A            
INT_LIT      20              8        16       N/A            
PLUS         -               8        19       N/A            
INT_LIT      5               8        21       N/A            
PYC          -               8        22       N/A            
INT          -               9        4        N/A            
SEP          -               9        7        N/A            
ID           g               9        8        Scope 1        
PYC          -               9        9        N/A            
CHAR         -               10       4        N/A            
SEP          -               10       8        N/A            
ID           letra           10       9        Scope 1        
ASSIGN       -               10       14       N/A            
CHAR_LIT     a               10       16       N/A            
PYC          -               10       19       N/A            
FLOAT        -               11       4        N/A            
SEP          -               11       9        N/A            
ID           h               11       10       Scope 1        
PYC          -               11       11       N/A            
COUT         -               13       4        N/A            
SEP          -               13       8        N/A            
PAR_I        -               13       9        N/A            
STRING_LIT   numero inicial =  13       12       N/A            
PAR_D        -               13       32       N/A            
PYC          -               13       34       N/A            
COUT         -               14       4        N/A            
SEP          -               14       8        N/A            
PAR_I        -               14       9        N/A            
ID           numero          14       12       Scope 1        
PAR_D        -               14       19       N/A            
PYC          -               14       21       N/A            
COUT         -               15       4        N/A            
SEP          -               15       8        N/A            
PAR_I        -               15       9        N/A            
STRING_LIT   \n              15       12       N/A            
PAR_D        -               15       17       N/A            
PYC          -               15       19       N/A            
ID           g               17       4        Scope 1        
ASSIGN       -               17       6        N/A            
INC          -               17       9        N/A            
ID           numero          17       11       Scope 1        
MULT         -               17       18       N/A            
INT_LIT      4               17       20       N/A            
DIV          -               17       22       N/A            
INT_LIT      2               17       24       N/A            
POW          -               17       26       N/A            
INT_LIT      3               17       28       N/A            
MOD          -               17       30       N/A            
DEC          -               17       32       N/A            
ID           numero          17       34       Scope 1        
PYC          -               17       40       N/A            
COUT         -               19       4        N/A            
SEP          -               19       8        N/A            
PAR_I        -               19       9        N/A            
STRING_LIT   g =             19       12       N/A            
PAR_D        -               19       19       N/A            
PYC          -               19       21       N/A            
COUT         -               20       4        N/A            
SEP          -               20       8        N/A            
PAR_I        -               20       9        N/A            
ID           g               20       12       Scope 1        
PAR_D        -               20       14       N/A            
PYC          -               20       16       N/A            
COUT         -               21       4        N/A            
SEP          -               21       8        N/A            
PAR_I        -               21       9        N/A            
STRING_LIT   \n              21       12       N/A            
PAR_D        -               21       17       N/A            
PYC          -               21       19       N/A            
ID           h               23       4        Scope 1        
ASSIGN       -               23       6        N/A            
FLOAT_LIT    4.0             23       9        N/A            
MULT         -               23       13       N/A            
FLOAT_LIT    2.0             23       15       N/A            
DIV          -               23       19       N/A            
FLOAT_LIT    2.0             23       21       N/A            
MINUS        -               23       25       N/A            
FLOAT_LIT    6.0             23       27       N/A            
DIV          -               23       31       N/A            
FLOAT_LIT    3.0             23       33       N/A            
PYC          -               23       36       N/A            
COUT         -               25       4        N/A            
SEP          -               25       8        N/A            
PAR_I        -               25       9        N/A            
STRING_LIT   h =             25       12       N/A            
PAR_D        -               25       19       N/A            
PYC          -               25       21       N/A            
COUT         -               26       4        N/A            
SEP          -               26       8        N/A            
PAR_I        -               26       9        N/A            
ID           h               26       12       Scope 1        
PAR_D        -               26       14       N/A            
PYC          -               26       16       N/A            
COUT         -               27       4        N/A            
SEP          -               27       8        N/A            
PAR_I        -               27       9        N/A            
STRING_LIT   \n              27       12       N/A            
PAR_D        -               27       17       N/A            
PYC          -               27       19       N/A            
FLOAT        -               29       4        N/A            
SEP          -               29       9        N/A            
ID           ff              29       10       Scope 1        
ASSIGN       -               29       12       N/A            
FLOAT_LIT    1.0             29       14       N/A            
PYC          -               29       17       N/A            
CHAR         -               31       4        N/A            
SEP          -               31       8        N/A            
ID           _miChar_        31       9        Scope 1        
ASSIGN       -               31       17       N/A            
CHAR_LIT     !               31       19       N/A            
PYC          -               31       22       N/A            
INT          -               33       4        N/A            
SEP          -               33       7        N/A            
ID           _x30_           33       8        Scope 1        
ASSIGN       -               33       13       N/A            
INT_LIT      -1              33       15       N/A            
PYC          -               33       17       N/A            
BOOL         -               35       4        N/A            
SEP          -               35       8        N/A            
ID           _x40_           35       9        Scope 1        
ASSIGN       -               35       14       N/A            
FALSE        -               35       16       N/A            
PYC          -               35       21       N/A            
INT          -               37       4        N/A            
SEP          -               37       7        N/A            
ID           _x50_           37       8        Scope 9        
ARR_I        -               37       13       N/A            
INT_LIT      1               37       15       N/A            
ARR_D        -               37       16       N/A            
ARR_I        -               37       18       N/A            
INT_LIT      2               37       20       N/A            
ARR_D        -               37       21       N/A            
ASSIGN       -               37       24       N/A            
LLAVE_I      -               37       27       N/A            
LLAVE_I      -               37       29       N/A            
INT_LIT      4               37       31       N/A            
COMMA        -               37       32       N/A            
INT_LIT      5               37       33       N/A            
LLAVE_D      -               37       34       N/A            
LLAVE_D      -               37       36       N/A            
PYC          -               37       38       N/A            
ID           _x50_           39       4        Scope 9        
ARR_I        -               39       9        N/A            
INT_LIT      0               39       11       N/A            
MULT         -               39       12       N/A            
INT_LIT      1               39       13       N/A            
ARR_D        -               39       14       N/A            
ARR_I        -               39       16       N/A            
INT_LIT      1               39       18       N/A            
PLUS         -               39       19       N/A            
INT_LIT      0               39       20       N/A            
ARR_D        -               39       21       N/A            
ASSIGN       -               39       24       N/A            
INT_LIT      99              39       27       N/A            
PYC          -               39       29       N/A            
FLOAT        -               41       4        N/A            
SEP          -               41       9        N/A            
ID           _x502_          41       10       Scope 1        
ARR_I        -               41       16       N/A            
INT_LIT      2               41       18       N/A            
ARR_D        -               41       19       N/A            
ARR_I        -               41       21       N/A            
INT_LIT      2               41       23       N/A            
ARR_D        -               41       24       N/A            
ASSIGN       -               41       27       N/A            
LLAVE_I      -               41       30       N/A            
LLAVE_I      -               41       32       N/A            
FLOAT_LIT    1.5             41       34       N/A            
COMMA        -               41       37       N/A            
FLOAT_LIT    2.5             41       38       N/A            
LLAVE_D      -               41       41       N/A            
COMMA        -               41       43       N/A            
LLAVE_I      -               41       44       N/A            
FLOAT_LIT    3.5             41       46       N/A            
COMMA        -               41       49       N/A            
FLOAT_LIT    4.5             41       50       N/A            
LLAVE_D      -               41       53       N/A            
LLAVE_D      -               41       55       N/A            
PYC          -               41       57       N/A            
COUT         -               43       4        N/A            
SEP          -               43       8        N/A            
PAR_I        -               43       9        N/A            
STRING_LIT   Valor matriz int =  43       12       N/A            
PAR_D        -               43       34       N/A            
PYC          -               43       36       N/A            
COUT         -               44       4        N/A            
SEP          -               44       8        N/A            
PAR_I        -               44       9        N/A            
ID           _x50_           44       12       Scope 9        
ARR_I        -               44       17       N/A            
INT_LIT      0               44       19       N/A            
ARR_D        -               44       20       N/A            
ARR_I        -               44       22       N/A            
INT_LIT      1               44       24       N/A            
ARR_D        -               44       25       N/A            
PAR_D        -               44       28       N/A            
PYC          -               44       30       N/A            
COUT         -               45       4        N/A            
SEP          -               45       8        N/A            
PAR_I        -               45       9        N/A            
STRING_LIT   \n              45       12       N/A            
PAR_D        -               45       17       N/A            
PYC          -               45       19       N/A            
ID           ff              47       4        Scope 1        
ASSIGN       -               47       7        N/A            
ID           _x502_          47       10       Scope 1        
ARR_I        -               47       16       N/A            
ID           _x30_           47       18       Scope 1        
PLUS         -               47       23       N/A            
INT_LIT      2               47       24       N/A            
ARR_D        -               47       25       N/A            
ARR_I        -               47       27       N/A            
ID           _x30_           47       29       Scope 1        
MINUS        -               47       35       N/A            
INT_LIT      2               47       37       N/A            
ARR_D        -               47       38       N/A            
MULT         -               47       41       N/A            
FLOAT_LIT    2.0             47       43       N/A            
PYC          -               47       47       N/A            
COUT         -               49       4        N/A            
SEP          -               49       8        N/A            
PAR_I        -               49       9        N/A            
STRING_LIT   ff =            49       12       N/A            
PAR_D        -               49       20       N/A            
PYC          -               49       22       N/A            
COUT         -               50       4        N/A            
SEP          -               50       8        N/A            
PAR_I        -               50       9        N/A            
ID           ff              50       12       Scope 1        
PAR_D        -               50       15       N/A            
PYC          -               50       17       N/A            
COUT         -               51       4        N/A            
SEP          -               51       8        N/A            
PAR_I        -               51       9        N/A            
STRING_LIT   \n              51       12       N/A            
PAR_D        -               51       17       N/A            
PYC          -               51       19       N/A            
STRING       -               53       4        N/A            
SEP          -               53       10       N/A            
ID           _x503_          53       11       Scope 1        
ASSIGN       -               53       17       N/A            
STRING_LIT   Hola compilador\n 53       19       N/A            
PYC          -               53       38       N/A            
COUT         -               55       4        N/A            
SEP          -               55       8        N/A            
PAR_I        -               55       9        N/A            
ID           _x503_          55       12       Scope 1        
PAR_D        -               55       19       N/A            
PYC          -               55       21       N/A            
IF           -               57       4        N/A            
SEP          -               57       6        N/A            
PAR_I        -               57       8        N/A            
LESS_TE      -               57       11       N/A            
PAR_I        -               57       18       N/A            
ID           numero          57       20       Scope 1        
COMMA        -               57       26       N/A            
INT_LIT      30              57       27       N/A            
PAR_D        -               57       29       N/A            
AND          -               57       32       N/A            
LESS_T       -               57       34       N/A            
PAR_I        -               57       40       N/A            
ID           ff              57       42       Scope 1        
COMMA        -               57       44       N/A            
FLOAT_LIT    5.0             57       45       N/A            
PAR_D        -               57       48       N/A            
OR           -               57       51       N/A            
ID           _x40_           57       53       Scope 1        
AND          -               57       59       N/A            
EQUAL        -               57       61       N/A            
PAR_I        -               57       66       N/A            
FALSE        -               57       68       N/A            
COMMA        -               57       73       N/A            
FALSE        -               57       74       N/A            
PAR_D        -               57       79       N/A            
OR           -               57       82       N/A            
N_EQUAL      -               57       84       N/A            
PAR_I        -               57       91       N/A            
FALSE        -               57       93       N/A            
COMMA        -               57       98       N/A            
TRUE         -               57       99       N/A            
PAR_D        -               57       103      N/A            
PAR_D        -               57       106      N/A            
LLAVE_I      -               57       109      N/A            
COUT         -               59       8        N/A            
SEP          -               59       12       N/A            
PAR_I        -               59       13       N/A            
STRING_LIT   IF verdadero\n  59       16       N/A            
PAR_D        -               59       33       N/A            
PYC          -               59       35       N/A            
INT          -               61       8        N/A            
SEP          -               61       11       N/A            
ID           y1              61       12       Scope 2        
PYC          -               61       14       N/A            
IF           -               63       8        N/A            
SEP          -               63       10       N/A            
PAR_I        -               63       12       N/A            
NOT          -               63       15       N/A            
PAR_I        -               63       16       N/A            
GREATER_T    -               63       18       N/A            
PAR_I        -               63       28       N/A            
ID           ff              63       30       Scope 1        
COMMA        -               63       32       N/A            
FLOAT_LIT    5.0             63       33       N/A            
PAR_D        -               63       36       N/A            
OR           -               63       38       N/A            
GREATER_T    -               63       39       N/A            
PAR_I        -               63       49       N/A            
ID           numero          63       51       Scope 1        
COMMA        -               63       57       N/A            
INT_LIT      30              63       58       N/A            
PAR_D        -               63       60       N/A            
PAR_D        -               63       62       N/A            
PAR_D        -               63       65       N/A            
LLAVE_I      -               63       68       N/A            
COUT         -               65       12       N/A            
SEP          -               65       16       N/A            
PAR_I        -               65       17       N/A            
STRING_LIT   IF interno verdadero\n 65       20       N/A            
PAR_D        -               65       45       N/A            
PYC          -               65       47       N/A            
INT          -               67       12       N/A            
SEP          -               67       15       N/A            
ID           y               67       16       Scope 3        
PYC          -               67       17       N/A            
CHAR         -               69       12       N/A            
SEP          -               69       16       N/A            
ID           ch33            69       17       Scope 3        
ASSIGN       -               69       21       N/A            
CHAR_LIT     a               69       23       N/A            
PYC          -               69       26       N/A            
LLAVE_D      -               71       8        N/A            
ELSE         -               73       8        N/A            
SEP          -               73       12       N/A            
LLAVE_I      -               73       14       N/A            
COUT         -               75       12       N/A            
SEP          -               75       16       N/A            
PAR_I        -               75       17       N/A            
STRING_LIT   IF interno falso\n 75       20       N/A            
PAR_D        -               75       41       N/A            
PYC          -               75       43       N/A            
LLAVE_D      -               77       8        N/A            
LLAVE_D      -               79       4        N/A            
ELSE         -               81       4        N/A            
SEP          -               81       8        N/A            
LLAVE_I      -               81       10       N/A            
COUT         -               83       8        N/A            
SEP          -               83       12       N/A            
PAR_I        -               83       13       N/A            
STRING_LIT   ELSE\n          83       16       N/A            
PAR_D        -               83       25       N/A            
PYC          -               83       27       N/A            
INT          -               85       8        N/A            
SEP          -               85       11       N/A            
ID           y2              85       12       Scope 5        
ASSIGN       -               85       14       N/A            
INT_LIT      45              85       16       N/A            
PYC          -               85       18       N/A            
STRING       -               87       8        N/A            
SEP          -               87       14       N/A            
ID           str2            87       15       Scope 5        
ASSIGN       -               87       19       N/A            
STRING_LIT   switch\n        87       21       N/A            
PYC          -               87       31       N/A            
DO           -               89       8        N/A            
SEP          -               89       10       N/A            
LLAVE_I      -               89       12       N/A            
COUT         -               91       12       N/A            
SEP          -               91       16       N/A            
PAR_I        -               91       17       N/A            
STRING_LIT   Iteracion do\n  91       20       N/A            
PAR_D        -               91       37       N/A            
PYC          -               91       39       N/A            
SWITCH       -               93       12       N/A            
SEP          -               93       18       N/A            
PAR_I        -               93       19       N/A            
ID           y2              93       21       Scope 5        
PAR_D        -               93       23       N/A            
LLAVE_I      -               93       26       N/A            
CASE         -               95       16       N/A            
SEP          -               95       20       N/A            
INT_LIT      45              95       21       N/A            
DOSPUNTOS    -               95       23       N/A            
COUT         -               97       20       N/A            
SEP          -               97       24       N/A            
PAR_I        -               97       25       N/A            
STRING_LIT   CASE 45\n       97       28       N/A            
PAR_D        -               97       40       N/A            
PYC          -               97       42       N/A            
COUT         -               99       20       N/A            
SEP          -               99       24       N/A            
PAR_I        -               99       25       N/A            
ID           g               99       28       Scope 1        
PAR_D        -               99       30       N/A            
PYC          -               99       32       N/A            
COUT         -               101      20       N/A            
SEP          -               101      24       N/A            
PAR_I        -               101      25       N/A            
STRING_LIT   \n              101      28       N/A            
PAR_D        -               101      33       N/A            
PYC          -               101      35       N/A            
ID           g               103      20       Scope 1        
ASSIGN       -               103      21       N/A            
INT_LIT      200             103      23       N/A            
PYC          -               103      26       N/A            
BREAK        -               105      20       N/A            
PYC          -               105      25       N/A            
CASE         -               107      16       N/A            
SEP          -               107      20       N/A            
INT_LIT      777             107      21       N/A            
DOSPUNTOS    -               107      24       N/A            
COUT         -               109      20       N/A            
SEP          -               109      24       N/A            
PAR_I        -               109      25       N/A            
STRING_LIT   CASE 777\n      109      28       N/A            
PAR_D        -               109      41       N/A            
PYC          -               109      43       N/A            
DEFAULT      -               111      16       N/A            
SEP          -               111      23       N/A            
DOSPUNTOS    -               111      24       N/A            
COUT         -               113      20       N/A            
SEP          -               113      24       N/A            
PAR_I        -               113      25       N/A            
STRING_LIT   DEFAULT\n       113      28       N/A            
PAR_D        -               113      40       N/A            
PYC          -               113      42       N/A            
LLAVE_D      -               115      12       N/A            
LLAVE_D      -               117      8        N/A            
WHILE        -               117      11       N/A            
SEP          -               117      16       N/A            
PAR_I        -               117      17       N/A            
FALSE        -               117      19       N/A            
PAR_D        -               117      24       N/A            
PYC          -               117      26       N/A            
LLAVE_D      -               119      4        N/A            
COUT         -               121      4        N/A            
SEP          -               121      8        N/A            
PAR_I        -               121      9        N/A            
STRING_LIT   === Saliendo func1 ===\n 121      12       N/A            
PAR_D        -               121      39       N/A            
PYC          -               121      41       N/A            
RETURN       -               123      4        N/A            
SEP          -               123      10       N/A            
FLOAT_LIT    1.5             123      11       N/A            
PYC          -               123      14       N/A            
LLAVE_D      -               125      0        N/A            
INT          -               127      0        N/A            
SEP          -               127      3        N/A            
ID           _func2_         127      4        Scope 0        
PAR_I        -               127      12       N/A            
FLOAT        -               127      15       N/A            
SEP          -               127      20       N/A            
ID           _b1_            127      21       Scope 7        
COMMA        -               127      25       N/A            
INT          -               127      27       N/A            
SEP          -               127      30       N/A            
ID           _i1_            127      31       Scope 7        
PAR_D        -               127      36       N/A            
LLAVE_I      -               127      39       N/A            
COUT         -               129      4        N/A            
SEP          -               129      8        N/A            
PAR_I        -               129      9        N/A            
STRING_LIT   Entrando a func2\n 129      12       N/A            
PAR_D        -               129      33       N/A            
PYC          -               129      35       N/A            
